IC8	-21.08	0.00	90.00		QFN24_4MM
IC9	6.60	10.67	0.00	MCP44X1	TSSOP20
J12	-44.88	-31.50	270.00		USB-C-16P
JP13	-35.31	9.91	180.00		SJ_2S
JP30	-18.54	14.73	270.00		SJ_2S
JP31	-22.35	14.73	90.00		SJ_2S
JP36	-14.73	14.73	270.00		SJ_2S
L1	-9.14	-21.34	270.00		0603
L3	18.54	-3.05	180.00	15uH	L0630
LED1	22.23	-21.08	270.00		CHIPLED_0805
LED10	22.23	-12.19	270.00		CHIPLED_0805
LED11	43.31	-11.94	180.00		CHIPLED_0805
LED12	40.51	1.91	180.00		CHIPLED_0805
LED2	22.23	-19.30	270.00		CHIPLED_0805
LED3	22.23	-17.53	270.00		CHIPLED_0805
LED4	22.23	-15.75	270.00		CHIPLED_0805
LED5	43.31	-29.46	180.00		CHIPLED_0805
LED6	43.31	-20.70	180.00		CHIPLED_0805
LED7	24.00	-40.26	90.00		CHIPLED_0805
LED8	13.84	-40.26	90.00		CHIPLED_0805
LED9	22.23	-13.97	270.00		CHIPLED_0805
PTC1	-21.08	-19.81	180.00	0.75A	PTC1812
Q1	-26.92	-32.77	90.00		SOT23-R
Q10	34.54	12.32	270.00	AOD4185	TO252
Q2	-4.57	-25.15	180.00	12MHz	CRYSTAL_3.2X2.5
Q3	-21.08	-6.86	0.00	25MHz	CRYSTAL_3.2X2.5
Q4	34.80	-10.16	0.00	BUK9832-55A	SOT230P700X160-4N
Q8	34.80	-27.69	0.00	BUK9832-55A	SOT230P700X160-4N
Q9	34.80	-18.92	0.00	BUK9832-55A	SOT230P700X160-4N
R1	-30.73	-4.57	90.00	10K	0603
R10	18.67	-21.08	180.00	1K	0603
R100	-20.07	-41.15	90.00	1K	0603
R101	-21.59	-41.15	90.00	5.6K	0603
R102	-23.11	-37.59	270.00	1K	0603
R103	-21.59	-37.59	270.00	5.6K	0603
R104	-38.61	-36.07	180.00	0R	0603
R105	-38.61	-28.96	180.00	10K	0603
R106	-38.61	-34.04	180.00	10K	0603
R107	-23.11	-32.77	90.00	100K	0603
R108	-43.18	9.91	90.00	4.7K	0603
R109	-41.66	9.91	90.00	4.7K	0603
R11	18.67	-19.30	180.00	1K	0603
R110	-40.13	9.91	90.00	4.7K	0603
R111	-38.61	9.91	90.00	4.7K	0603
R112	-30.99	23.88	270.00	33K	0603
R113	-12.45	23.88	270.00	33K	0603
R114	6.10	23.88	270.00	33K	0603
R115	24.64	23.88	270.00	33K	0603
R116	43.18	23.88	270.00	33K	0603
R12	18.67	-17.53	180.00	1K	0603
R123	31.24	-1.52	270.00	210K	0603
R124	29.72	-1.52	90.00	40.2K	0603
R125	28.19	-3.05	270.00	100K	0603
R126	28.19	6.99	180.00	200K	0603
R127	23.62	-3.05	270.00	100K	0603
R128	25.15	-3.05	270.00	17.4K	0603
R13	18.67	-15.75	180.00	1K	0603
R14	-4.45	-38.86	90.00	10K	0603
R15	-4.45	-32.77	270.00	10K	0603
R16	-20.07	-32.77	90.00	10K	0603
R17	-21.59	-32.77	270.00	330R	0603
R18	2.29	10.67	270.00	33K	0603
R19	37.08	23.88	270.00	10K	0603
R2	-32.26	3.81	90.00	10K	0603
R20	40.13	23.88	270.00	10K	0603
R21	40.01	40.89	270.00	0.05R	1206
R22	-35.56	23.88	90.00	NP	0603
R23	-17.02	23.88	270.00	NP	0603
R24	-34.04	23.88	270.00	10K	0603
R25	-38.61	23.88	270.00	10K	0603
R26	-37.08	23.88	270.00	10K	0603
R27	-18.54	23.88	270.00	10K	0603
R28	-15.49	23.88	270.00	10K	0603
R29	-20.07	23.88	270.00	10K	0603
R3	-32.26	-4.57	90.00	10K	0603
R30	-2.29	10.67	270.00	33K	0603
R31	-34.16	40.89	270.00	0.05R	1206
R32	-40.01	40.89	270.00	0.05R	1206
R33	-15.62	40.89	270.00	0.05R	1206
R34	-21.46	40.89	270.00	0.05R	1206
R35	0.76	10.67	270.00	2.2K	0603
R36	-0.76	10.67	270.00	2.2K	0603
R37	-8.38	5.84	0.00	100K	0603
R38	1.52	23.88	270.00	NP	0603
R39	20.07	23.88	270.00	NP	0603
R4	8.38	15.49	180.00	100K	0603
R40	0.00	23.88	270.00	10K	0603
R41	3.05	23.88	270.00	10K	0603
R42	-1.52	23.88	270.00	10K	0603
R43	18.54	23.88	270.00	10K	0603
R44	21.59	23.88	270.00	10K	0603
R45	17.02	23.88	270.00	10K	0603
R46	2.92	40.89	270.00	0.05R	1206
R47	-2.92	40.89	270.00	0.05R	1206
R48	21.46	40.89	270.00	0.05R	1206
R49	15.62	40.89	270.00	0.05R	1206
R5	9.14	-24.13	0.00	2.2K	0603
R50	-33.78	-27.43	0.00	330R	0603
R51	-14.86	8.13	270.00	22R	0603
R52	-14.86	4.57	0.00	1.5K	0603
R53	-14.86	1.52	0.00	10K	0603
R54	-26.67	-4.57	180.00	49.9R	0603
R55	-25.53	-9.91	180.00	49.9R	0603
R56	-25.53	-11.43	180.00	49.9R	0603
R57	-25.53	-14.48	180.00	49.9R	0603
R58	-14.86	-3.81	0.00	22R	0603
R59	-14.86	-5.33	0.00	22R	0603
R6	12.70	-24.13	0.00	2.2K	0603
R60	-14.86	3.05	0.00	22R	0603
R61	-31.50	-8.26	0.00	330R	0603
R62	-38.61	-27.43	180.00	10K	0603
R63	-27.56	0.00	270.00	12.1K	0603
R64	-21.08	-4.32	180.00	1M	0603
R65	43.31	-25.65	270.00	8.2K	0603
R66	43.31	-16.89	270.00	8.2K	0603
R67	26.80	-39.62	90.00	8.2K	0603
R68	16.76	-39.62	90.00	8.2K	0603
R69	27.81	-33.02	270.00	22R	0603
R7	-30.48	-33.53	0.00	1.5K	0603
R70	13.97	-33.53	180.00	22R	0603
R71	18.03	-32.64	90.00	10K	0603
R72	13.97	-31.88	0.00	10K	0603
R73	29.72	-25.91	270.00	22R	0603
R74	29.72	-29.46	270.00	10K	0603
R75	29.72	-17.14	270.00	22R	0603
R76	29.72	-20.70	270.00	10K	0603
R77	18.67	-13.97	180.00	1K	0603
R78	18.67	-12.19	180.00	8.2K	0603
R79	34.16	40.89	270.00	0.05R	1206
R8	-30.48	-30.48	0.00	33R	0603
R80	38.61	23.88	270.00	NP	0603
R81	35.56	23.88	270.00	10K	0603
R82	29.72	-8.38	270.00	22R	0603
R83	29.72	-11.94	270.00	10K	0603
R84	43.31	-8.13	270.00	8.2K	0603
R85	36.83	4.83	180.00	8.2K	0603
R86	34.04	-1.52	270.00	10K	0603
R87	27.94	-25.91	90.00	10K	0603
R88	34.04	2.03	90.00	22R	0603
R89	30.86	16.89	0.00	10K	0603
R9	-30.48	-28.96	0.00	33R	0603
R90	20.57	-33.53	180.00	10K	0603
R91	10.41	-33.53	180.00	10K	0603
R92	-31.24	-37.59	270.00	5.6K	0603
R93	-32.77	-37.59	270.00	1K	0603
R94	-29.72	-41.15	90.00	1K	0603
R95	-31.24	-41.15	90.00	5.6K	0603
R96	-27.94	-37.59	270.00	1K	0603
R97	-26.42	-37.59	270.00	5.6K	0603
R98	-24.89	-41.15	90.00	1K	0603
R99	-26.42	-41.15	90.00	5.6K	0603
S1	0.00	-37.59	0.00		TACTILE_SWITCH_SMD
S2	0.00	-32.00	180.00		TACTILE_SWITCH_SMD
SJ4	-28.45	19.81	0.00		SJ_3
SJ5	-9.91	19.81	0.00		SJ_3
SJ6	8.64	19.81	0.00		SJ_3
